OrdFY25	POAexemptCode	Description
01236	B90.0	Sequelae of central nervous system tuberculosis
01237	B90.1	Sequelae of genitourinary tuberculosis
01238	B90.2	Sequelae of tuberculosis of bones and joints
01239	B90.8	Sequelae of tuberculosis of other organs
01240	B90.9	Sequelae of respiratory and unspecified tuberculosis
01241	B91	Sequelae of poliomyelitis
01242	B92	Sequelae of leprosy
01244	B94.0	Sequelae of trachoma
01245	B94.1	Sequelae of viral encephalitis
01246	B94.2	Sequelae of viral hepatitis
01247	B94.8	Sequelae of other specified infectious and parasitic diseases
01248	B94.9	Sequelae of unspecified infectious and parasitic disease
04732	E64.0	Sequelae of protein-calorie malnutrition
04733	E64.1	Sequelae of vitamin A deficiency
04734	E64.2	Sequelae of vitamin C deficiency
04735	E64.3	Sequelae of rickets
04736	E64.8	Sequelae of other nutritional deficiencies
04737	E64.9	Sequelae of unspecified nutritional deficiency
11598	I25.2	Old myocardial infarction
12089	I69.00	Unspecified sequelae of nontraumatic subarachnoid hemorrhage
12091	I69.010	Attention and concentration deficit following nontraumatic subarachnoid hemorrhage
12092	I69.011	Memory deficit following nontraumatic subarachnoid hemorrhage
12093	I69.012	Visuospatial deficit and spatial neglect following nontraumatic subarachnoid hemorrhage
12094	I69.013	Psychomotor deficit following nontraumatic subarachnoid hemorrhage
12095	I69.014	Frontal lobe and executive function deficit following nontraumatic subarachnoid hemorrhage
12096	I69.015	Cognitive social or emotional deficit following nontraumatic subarachnoid hemorrhage
12097	I69.018	Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
12098	I69.019	Unspecified symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
12100	I69.020	Aphasia following nontraumatic subarachnoid hemorrhage
12101	I69.021	Dysphasia following nontraumatic subarachnoid hemorrhage
12102	I69.022	Dysarthria following nontraumatic subarachnoid hemorrhage
12103	I69.023	Fluency disorder following nontraumatic subarachnoid hemorrhage
12104	I69.028	Other speech and language deficits following nontraumatic subarachnoid hemorrhage
12106	I69.031	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
12107	I69.032	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
12108	I69.033	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
12109	I69.034	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
12110	I69.039	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
12112	I69.041	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
12113	I69.042	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
12114	I69.043	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
12115	I69.044	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
12116	I69.049	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
12118	I69.051	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side
12119	I69.052	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side
12120	I69.053	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
12121	I69.054	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
12122	I69.059	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting unspecified side
12124	I69.061	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side
12125	I69.062	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side
12126	I69.063	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
12127	I69.064	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
12128	I69.065	"Other paralytic syndrome following nontraumatic subarachnoid hemorrhage, bilateral"
